ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,Landsize,Age,Lattitude,Longtitude,train_station_id,distance_to_train_stat,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average
ID907213789,22/14 Crimea St,ST KILDA,350000.0,u,8/04/2017,1,1.0,1.0,1236.0,51.0,-37.8585,144.9884,19957,419.84412399553156,15.5,0,1412.0,6364.0,699.3333333333334
ID397432891,137 East Rd,SEAFORD,512000.0,h,26/08/2017,3,1.0,1.0,576.0,36.0,-38.10505,145.15328,19857,2197.1792152560365,63.81818181818182,0,101.66666666666667,251.33333333333334,18.666666666666668
ID513834163,2/45 Cathcart St,MAIDSTONE,485000.0,u,4/06/2016,2,1.0,1.0,152.0,7.0,-37.7844,144.8791,20023,2013.7618836777417,19.4,0,610.0,1743.6666666666667,228.0
ID706464731,5/47 Acland St,ST KILDA,757500.0,u,19/11/2016,2,1.0,1.0,0.0,6.0,-37.865,144.9761,19956,1609.6183335841515,17.5,1,1363.6666666666667,6287.666666666667,564.3333333333334
ID340118078,43 Mirams St,ASCOT VALE,1060000.0,h,27/11/2016,3,1.0,1.0,555.0,99.0,-37.7767,144.9125,20039,834.6478084556323,20.0,0,2489.6666666666665,11817.333333333334,1268.6666666666667
ID329882795,16a Billson St,BRIGHTON EAST,980000.0,h,4/06/2016,2,1.0,1.0,247.0,79.0,-37.917,145.0137,19951,1542.1838354705544,26.5,0,2744.3333333333335,10289.666666666666,780.0
ID736998054,1/180 Queens Pde,FITZROY NORTH,1054000.0,t,10/09/2016,2,2.0,1.0,0.0,119.0,-37.7903,144.9859,19974,856.9211740711745,15.142857142857142,0,1923.6666666666667,8979.333333333334,620.3333333333334
ID897894471,42 Lyon Rd,VIEWBANK,1042500.0,h,17/09/2016,4,2.0,2.0,648.0,44.0,-37.7363,145.0851,19983,1812.456017277576,34.75,0,584.3333333333334,2731.6666666666665,211.66666666666666
ID679576137,13 Horsley St,BENTLEIGH,910000.0,h,22/08/2016,2,1.0,2.0,274.0,49.0,-37.9178,145.0413,19939,380.3456157349447,35.15384615384615,0,925.6666666666666,4701.333333333333,308.6666666666667
ID388519316,8/33 McIntyre St,BURWOOD,746000.0,u,17/09/2016,3,1.0,2.0,308.0,24.0,-37.8505,145.1065,19849,2287.4124099957603,28.666666666666668,0,958.6666666666666,5673.0,628.0
