ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID907213789,22/14 Crimea St,1,u,350000.0,8/04/2017,1.0,1.0,1236.0,51.0,-37.8585,144.9884
ID397432891,137 East Rd,3,h,512000.0,26/08/2017,1.0,1.0,576.0,36.0,-38.10505,145.15328
ID513834163,2/45 Cathcart St,2,u,485000.0,4/06/2016,1.0,1.0,152.0,7.0,-37.7844,144.8791
ID706464731,5/47 Acland St,2,u,757500.0,19/11/2016,1.0,1.0,0.0,6.0,-37.865,144.9761
ID340118078,43 Mirams St,3,h,1060000.0,27/11/2016,1.0,1.0,555.0,99.0,-37.7767,144.9125
ID329882795,16a Billson St,2,h,980000.0,4/06/2016,1.0,1.0,247.0,79.0,-37.917,145.0137
ID736998054,1/180 Queens Pde,2,t,1054000.0,10/09/2016,2.0,1.0,0.0,119.0,-37.7903,144.9859
ID897894471,42 Lyon Rd,4,h,1042500.0,17/09/2016,2.0,2.0,648.0,44.0,-37.7363,145.0851
ID679576137,13 Horsley St,2,h,910000.0,22/08/2016,1.0,2.0,274.0,49.0,-37.9178,145.0413
ID388519316,8/33 McIntyre St,3,u,746000.0,17/09/2016,1.0,2.0,308.0,24.0,-37.8505,145.1065
ID153154958,3/204 The Boulevard,1,u,405000.0,28/08/2016,1.0,1.0,0.0,59.0,-37.7767,145.0543
ID528941511,2/31 Moonya Rd,2,u,600000.0,3/12/2016,1.0,1.0,73.0,49.0,-37.897,145.0593
ID869322367,14 Venetian Ct,3,h,858000.0,16/09/2017,1.0,2.0,857.0,59.0,-37.802440000000004,145.29711
ID237353678,61 Pardy St,3,h,940000.0,29/07/2017,1.0,1.0,559.0,64.0,-37.7327,144.92966
ID314386227,5/3 Ruskin St,2,u,825000.0,7/11/2016,1.0,2.0,0.0,89.0,-37.874,144.9819
ID322330079,9/2 Alfriston St,1,u,369000.0,18/03/2017,1.0,1.0,1547.0,49.0,-37.8749,144.9903
ID600273307,13 Patricia St,3,h,1525000.0,12/08/2017,1.0,1.0,904.0,54.0,-37.82694,145.12465
ID313675719,32 Ringtail Cct,4,h,826000.0,3/09/2016,2.0,2.0,308.0,7.0,-37.7833,144.8817
ID984598508,2 Boyd St,2,h,2905000.0,3/06/2017,1.0,1.0,254.0,59.0,-37.84583,144.95658
ID474258089,108 Sunset Bvd,3,h,425000.0,16/04/2016,1.0,2.0,650.0,44.0,-37.687,144.9084
ID460535441,50 Milleara Rd,3,h,850000.0,12/08/2017,1.0,1.0,597.0,69.0,-37.73305,144.86526
ID563867852,2/34 Linacre Rd,2,u,665000.0,20/05/2017,1.0,1.0,136.0,49.0,-37.9427,145.0052
ID114425676,22 Warrick Ct,4,h,1600000.0,10/12/2016,3.0,3.0,1801.0,49.0,-37.7532,144.8766
ID524873042,9 Ryland St,3,h,841000.0,16/09/2017,1.0,3.0,533.0,59.0,-37.72631,144.96274
ID353914600,43 Henshall Rd,4,h,1430000.0,16/04/2016,2.0,1.0,607.0,29.0,-37.7376,144.9154
ID156788920,3 Henderson Rd,4,h,821000.0,1/07/2017,1.0,6.0,763.0,3.0,-37.69048,144.87312
ID478124210,3/11 Ormond Rd,2,u,410000.0,26/07/2016,1.0,1.0,0.0,49.0,-37.903,145.0452
ID400700808,2/225 Maribyrnong Rd,2,t,705000.0,18/06/2016,2.0,1.0,113.0,21.0,-37.7712,144.9088
ID433828257,8/67 Denham St,1,u,415000.0,24/09/2016,1.0,1.0,0.0,129.0,-37.8192,145.0221
ID611163597,470 Waterdale Rd,3,h,631000.0,30/07/2016,1.0,1.0,596.0,59.0,-37.7432,145.0479
ID270796837,34/530 Toorak Rd,2,u,517500.0,4/03/2017,1.0,1.0,0.0,99.0,-37.8424,145.0184
ID407749462,2/25 Fernhill St,2,u,960000.0,15/07/2017,1.0,1.0,229.0,29.0,-37.876059999999995,145.15951
ID871333616,296 Gooch St,2,h,740000.0,14/05/2016,1.0,2.0,467.0,61.0,-37.7606,145.0241
ID770565215,1/107 Warrigal Rd,2,u,455000.0,17/06/2017,1.0,1.0,3160.0,49.0,-37.979459999999996,145.07166999999995
ID979418325,52 Monash St,3,h,580500.0,29/07/2017,1.0,1.0,532.0,39.0,-37.66101,145.02568
